Item,Speed,Accuracy,Predicted_Speed,Predicted_Accuracy
1,85,0.986,71.8366515837104,0.9638281777046482
2,61,0.958,71.85786107526638,0.9639263429559963
3,74,0.976,71.87907056682238,0.9640245082073445
4,72,0.971,71.90028005837836,0.9641226734586927
5,76,0.972,71.92148954993435,0.9642208387100408
6,63,0.953,71.94269904149033,0.964319003961389
7,63,0.9420000000000001,71.96390853304632,0.9644171692127372
8,67,0.958,71.9851180246023,0.9645153344640853
9,69,1.0,72.0063275161583,0.9646134997154335
10,79,0.978,72.02753700771427,0.9647116649667817
11,74,0.978,72.04874649927027,0.9648098302181299
12,62,0.9520000000000001,72.06995599082624,0.964907995469478
13,64,0.9620000000000001,72.09116548238224,0.9650061607208262
14,67,0.972,72.11237497393822,0.9651043259721744
15,77,0.9740000000000001,72.13358446549421,0.9652024912235225
16,69,0.9640000000000001,72.15479395705019,0.9653006564748707
17,73,0.978,72.17600344860618,0.9653988217262189
18,66,0.965,72.19721294016216,0.965496986977567
19,79,0.9690000000000001,72.21842243171815,0.9655951522289152
20,71,0.963,72.23963192327415,0.9656933174802634
21,69,0.953,72.26084141483013,0.9657914827316115
22,73,0.992,72.28205090638612,0.9658896479829597
23,73,0.97,72.3032603979421,0.9659878132343079
24,85,0.982,72.32446988949809,0.966085978485656
25,70,0.971,72.34567938105407,0.9661841437370042
26,73,0.966,72.36688887261006,0.9662823089883524
27,69,0.968,72.38809836416604,0.9663804742397005
28,83,0.98,72.40930785572203,0.9664786394910487
29,60,0.9540000000000001,72.43051734727801,0.9665768047423969
30,74,0.9540000000000001,72.451726838834,0.9666749699937451
31,68,0.977,72.47293633038998,0.9667731352450932
32,79,0.9640000000000001,72.49414582194598,0.9668713004964414
33,58,0.956,72.51535531350196,0.9669694657477896
34,67,0.97,72.53656480505795,0.9670676309991377
35,73,0.9670000000000001,72.55777429661393,0.9671657962504859
36,74,0.981,72.57898378816992,0.9672639615018341
37,67,0.958,72.6001932797259,0.9673621267531822
38,70,0.9690000000000001,72.6214027712819,0.9674602920045304
39,68,0.971,72.64261226283789,0.9675584572558786
40,72,0.971,72.66382175439387,0.9676566225072267
41,85,0.968,72.68503124594986,0.9677547877585749
42,85,0.983,72.70624073750584,0.9678529530099231
43,80,0.976,72.72745022906183,0.9679511182612712
44,62,0.9590000000000001,72.74865972061781,0.9680492835126194
45,65,0.953,72.7698692121738,0.9681474487639676
46,85,0.976,72.79107870372978,0.9682456140153157
47,78,0.976,72.81228819528577,0.9683437792666639
48,90,0.981,72.83349768684175,0.9684419445180121
49,66,0.946,72.85470717839775,0.9685401097693603
50,73,0.977,72.87591666995372,0.9686382750207084
51,81,0.975,72.89712616150972,0.9687364402720566
52,75,0.9670000000000001,72.9183356530657,0.9688346055234048
53,69,0.946,72.93954514462169,0.9689327707747529
54,74,0.9740000000000001,72.96075463617767,0.9690309360261011
55,81,0.975,72.98196412773366,0.9691291012774493
56,67,0.965,73.00317361928964,0.9692272665287974
57,67,0.9670000000000001,73.02438311084563,0.9693254317801456
58,86,0.985,73.04559260240163,0.9694235970314938
59,80,0.98,73.0668020939576,0.9695217622828419
60,71,0.9670000000000001,73.0880115855136,0.9696199275341901
61,78,0.975,73.10922107706958,0.9697180927855383
62,84,0.972,73.13043056862557,0.9698162580368864
63,83,0.975,73.15164006018155,0.9699144232882346
